
0.000000000E0,7.600654357E3
2.769433333E0,7.434626505E3
5.338666667E0,7.297134691E3
7.674333333E0,7.149266135E3
1.014346667E1,7.005288858E3
1.264596667E1,6.854826117E3
1.531530000E1,6.710848840E3
2.032030000E1,6.420343097E3
2.272270000E1,6.272431545E3
2.529193333E1,6.124219907E3
2.759423333E1,5.980585712E3
3.029693333E1,5.839202620E3
3.263260000E1,5.683551509E3
3.503500000E1,5.536980046E3
3.763760000E1,5.382626028E3
4.010673333E1,5.254213862E3
4.250913333E1,5.105048214E3
4.491153333E1,4.962368029E3
4.764760000E1,4.809311103E3
5.028356667E1,4.665333826E3
5.288616667E1,4.520760668E3
5.518846667E1,4.374785086E3
5.765760000E1,4.228213623E3
6.029356667E1,4.078210583E3
6.272933333E1,3.938961975E3
6.539866667E1,3.789796328E3
6.783443333E1,3.640630680E3
7.003663333E1,3.497950495E3
7.283943333E1,3.351379032E3
7.537530000E1,3.203510477E3
7.794453333E1,3.060698724E3
8.014673333E1,2.914258829E3
8.261586667E1,2.770281552E3
8.495153333E1,2.629235289E3
8.788780000E1,2.476363850E3
9.035693333E1,2.327972979E3
9.269260000E1,2.187574997E3
9.542866667E1,2.038721331E3
9.753076667E1,1.892149869E3
9.993316667E1,1.739092943E3
1.026358667E2,1.599006943E3
1.050382667E2,1.438167462E3
1.074406667E2,1.300675648E3
1.102434667E2,1.149162593E3
1.125457667E2,1.002344352E3
1.149148000E2,8.671242410E2
1.180846333E2,7.040130563E2
